country,numnationalsources,numsources
Afghanistan,124,148
Africa Regional,0,84
Albania,49,89
Algeria,52,183
American Samoa,1,4
Americas Regional,0,7
Andorra,5,9
Angola,23,40
Anguilla,6,7
Antarctica,0,7
Antigua and Barbuda,6,8
Argentina,106,1728
Armenia,85,119
Aruba,15,22
Asia Regional,0,67
Australia,56,575
Austria,25,88
Azerbaijan,58,108
Bahamas,11,21
Bahrain,9,17
Bangladesh,60,132
Barbados,7,11
Belarus,24,66
Belgium,45,98
Belize,6,23
Benin,18,34
Bermuda,6,7
Bhutan,3,9
Bolivia,17,43
Bonaire,6,8
Bosnia and Herzegovina,27,59
Botswana,3,16
Brazil,80,1738
British Virgin Islands,5,8
Brunei Darussalam,5,10
Bulgaria,60,125
Burkina Faso,13,24
Burundi,17,18
Cambodia,11,20
Cameroon,20,33
Canada,85,1877
Cape Verde,9,15
Caribbean Regional,0,21
Cayman Islands,9,13
Central Africa Republic,8,8
Central America Regional,0,8
Chad,7,7
Chile,43,212
China,57,380
Christmas Island,1,2
Cocos Islands,1,2
Colombia,25,115
Comoros,7,9
Congo Brazzaville,2,12
Congo Kinshasa,11,30
Cook Islands,3,5
Costa Rica,21,40
Cote d'Ivoire,22,32
Croatia,24,59
Cuba,32,98
Curacao,12,19
Cyprus,29,50
Czech Republic,50,166
Denmark,27,164
Djibouti,4,9
Dominica,8,11
Dominican Republic,30,60
Ecuador,19,72
Egypt,22,48
El Salvador,12,21
Equatorial Guinea,6,9
Eritrea,5,20
Estonia,20,68
Ethiopia,7,32
Europe Regional,0,92
Faeroe Islands,5,10
Falkland Islands,3,7
Fiji,13,18
Finland,14,212
France,49,160
French Guiana,3,6
French Polynesia,6,9
French Southern and Antarctic Lands,1,1
Gabon,9,10
Gambia,3,13
Georgia,47,83
Germany,62,555
Ghana,27,52
Gibraltar,8,12
Greece,34,107
Greenland,4,7
Grenada,9,14
Guadeloupe,3,5
Guam,6,9
Guatemala,13,32
Guernsey,4,5
Guinea,22,27
Guinea Bissau,3,6
Guyana,17,24
Haiti,12,32
Holy See,43,43
Honduras,16,28
Hong Kong,20,40
Hungary,40,86
Iceland,15,41
India,102,437
Indonesia,28,101
International,0,75
Iran,47,110
Iraq,17,54
Ireland,12,106
Isle of Man,8,11
Israel,50,86
Italy,35,202
Jamaica,12,26
Japan,34,149
Jersey,3,4
Jordan,16,26
Kazakhstan,48,94
Kenya,16,27
Kiribati,1,1
Kosovo,30,52
Kuwait,14,28
Kyrgyzstan,16,27
Laos,8,18
Latin America,0,22
Latvia,35,80
Lebanon,34,59
Lesotho,6,10
Liberia,15,21
Libya,15,19
Liechtenstein,4,6
Lithuania,22,69
Luxembourg,12,28
Macau,8,18
Macedonia,54,68
Madagascar,11,19
Malawi,20,24
Malaysia,23,56
Maldives,19,23
Mali,7,14
Malta,10,20
Marshall Islands,1,3
Martinique,3,7
Mauritania,8,13
Mauritius,7,18
Mayotte,6,8
Mexico,50,693
Micronesia,3,8
Moldova,35,67
Monaco,5,11
Mongolia,10,14
Montenegro,13,19
Montserrat,1,2
Morocco,29,59
Mozambique,10,14
Myanmar,12,40
Namibia,5,16
Nauru,1,1
Near and Middle East Regional,0,61
Nepal,22,53
Netherlands,52,175
New Caledonia,2,6
New Zealand,31,102
Nicaragua,12,20
Niger,5,6
Nigeria,134,228
Niue,1,1
Norfolk Island,1,2
North Korea,11,17
Northern Mariana Islands,1,3
Norway,26,302
Oman,16,27
Pacific Regional,0,14
Pakistan,47,133
Palau,1,2
Palestine,20,31
Panama,25,38
Papua New Guinea,4,6
Paraguay,16,33
Peru,31,138
Philippines,23,124
Pitcairn,2,5
Poland,28,116
Portugal,27,120
Puerto Rico,11,44
Qatar,17,25
Reunion,5,8
Romania,53,203
Russia,89,466
Rwanda,5,9
Saint Barthelemy,3,9
Saint Helena,0,12
Saint Kitts and Nevis,9,17
Saint Lucia,9,12
Saint Martin,2,6
Saint Pierre and Miquelon,5,6
Saint Vincent and  Grenadines,7,9
Samoa,3,6
San Marino,7,10
Sao Tome and Principe,4,5
Saudi Arabia,12,25
Senegal,26,32
Serbia,77,159
Seychelles,4,7
Sierra Leone,15,44
Singapore,6,18
Sint Maarten,2,8
Slovakia,30,79
Slovenia,14,32
Solomon Islands,3,5
Somalia,6,30
South Africa,32,173
South America Regional,0,1
South Georgia and South Sandwich Islands,1,2
South Korea,33,121
South Sudan,5,19
Spain,50,525
Sri Lanka,33,65
Sudan,11,23
Suriname,7,13
Svalbard and Jan Mayen Islands,1,2
Swaziland,3,5
Sweden,41,259
Switzerland,29,164
Syria,13,25
Taiwan,27,48
Tajikistan,18,28
Tanzania,11,32
Thailand,23,67
Timor Leste,6,13
Togo,6,17
Tonga,3,5
Trinidad and Tobago,11,19
Tunisia,23,32
Turkey,41,146
Turkmenistan,31,31
Turks and Caicos Islands,5,8
Tuvalu,1,2
Uganda,12,24
Ukraine,142,328
United Arab Emirates,14,39
United Kingdom,98,810
United States,262,12764
United States Virgin Islands,1,11
Uruguay,21,82
Uzbekistan,30,54
Vanuatu,5,8
Venezuela,31,154
Vietnam,36,69
Wallis and Futuna Islands,3,3
Western Sahara,0,11
Yemen,25,54
Zambia,21,37
Zimbabwe,27,91
